fusion_class,surrogate_gene,surrogate_gene_ensembl_id,surrogate_role,cancer_code,rationale,refs,support_type,source_anchor
EWSR1-FLI1,NR0B1,ENSG00000169297,activated_ectopic,SARC_EWS,EWS-FLI1 directly binds GGAA microsatellite in NR0B1 promoter → ectopic expression in ~90% of Ewing sarcoma. Normally silent outside adrenal.,PMID:18626011,expression_surrogate,
EWSR1-FLI1,FATE1,ENSG00000147378,activated_ectopic,SARC_EWS,EWS-FLI1 target; GGAA microsatellite in promoter; ectopic expression in Ewing sarcoma. Normally silent outside testis.,DOI:10.1038/359162a0,fusion_discovery_only,"citation supports fusion/discovery context, not exact expression-surrogate assertion"
EWSR1-FLI1,GLG1,ENSG00000090863,activated,SARC_EWS,EWS-FLI1 downstream target; part of the Ewing signature expression panel.,PMID:32164354,expression_surrogate,
EWSR1-WT1,WT1,ENSG00000184937,activated,SARC_DSRCT,DSRCT expresses the C-terminal WT1 portion from the EWSR1-WT1 fusion; WT1 expression in a small-blue-round-cell tumor + abdominal site narrows to DSRCT.,PMID:8187063,expression_surrogate,
PAX3-FOXO1,MYOD1,ENSG00000129152,myogenic_lineage,SARC_RMS_ARMS,PAX3-FOXO1 locks myogenic lineage; MYOD1 expression is a defining marker of rhabdomyosarcoma.,PMID:8275086,fusion_discovery_only,"citation supports fusion/discovery context, not exact expression-surrogate assertion"
PAX3-FOXO1,MYOG,ENSG00000122180,myogenic_lineage,SARC_RMS_ARMS,Same as MYOD1 — myogenic lineage.,PMID:8275086,fusion_discovery_only,"citation supports fusion/discovery context, not exact expression-surrogate assertion"
PAX3-FOXO1,SOX10,ENSG00000100146,activated,SARC_RMS_ARMS,PAX3-FOXO1 target; SOX10 aberrantly expressed in alveolar-RMS.,PMID:8275086,fusion_discovery_only,"citation supports fusion/discovery context, not exact expression-surrogate assertion"
PAX3-FOXO1,PIPOX,ENSG00000179761,activated,SARC_RMS_ARMS,PAX3-FOXO1 signature gene; used in multi-gene ARMS classifiers.,PMID:8275086,fusion_discovery_only,"citation supports fusion/discovery context, not exact expression-surrogate assertion"
PAX3-FOXO1,ASS1,ENSG00000130707,activated,SARC_RMS_ARMS,PAX3-FOXO1 signature gene.,PMID:8275086,fusion_discovery_only,"citation supports fusion/discovery context, not exact expression-surrogate assertion"
SS18-SSX,SSX1,ENSG00000126752,activated_ectopic,SARC_SYN,SS18-SSX fusion directly derepresses the SSX paralogs. Normally silent outside testis.,DOI:10.1038/ng0894-502,fusion_discovery_only,"citation supports fusion/discovery context, not exact expression-surrogate assertion"
SS18-SSX,SSX2,ENSG00000241476,activated_ectopic,SARC_SYN,Same — SS18-SSX derepresses SSX2.,DOI:10.1038/ng0894-502,fusion_discovery_only,"citation supports fusion/discovery context, not exact expression-surrogate assertion"
SS18-SSX,SSX4,ENSG00000268009,activated_ectopic,SARC_SYN,Same — SS18-SSX derepresses SSX4.,DOI:10.1038/ng0894-502,fusion_discovery_only,"citation supports fusion/discovery context, not exact expression-surrogate assertion"
SS18-SSX,CTAG1B,ENSG00000184033,activated_ectopic,SARC_SYN,NY-ESO-1 is expressed in ~70% of synovial sarcoma via SS18-SSX-mediated chromatin opening.,DOI:10.1038/ng0894-502,fusion_discovery_only,"citation supports fusion/discovery context, not exact expression-surrogate assertion"
SS18-SSX,PRAME,ENSG00000185686,activated_ectopic,SARC_SYN,Frequently co-expressed with NY-ESO-1 in synovial sarcoma.,DOI:10.1038/ng0894-502,fusion_discovery_only,"citation supports fusion/discovery context, not exact expression-surrogate assertion"
NUTM1-BRD4,NUTM1,ENSG00000184507,activated_ectopic,NUTM,NUTM1 is silent in normal tissues; expression >1 TPM in a poorly-differentiated carcinoma is near-diagnostic of NUT rearrangement.,PMID:12543779,fusion_discovery_only,"citation supports fusion/discovery context, not exact expression-surrogate assertion"
NUTM1-BRD4,PRAME,ENSG00000185686,activated_ectopic,NUTM,~70% of NUT carcinoma expresses PRAME from BRD4-mediated chromatin derepression.,PMID:12543779,fusion_discovery_only,"citation supports fusion/discovery context, not exact expression-surrogate assertion"
NUTM1-BRD4,MAGEA1,ENSG00000198681,activated_ectopic,NUTM,MAGE-A panel is broadly derepressed in NUT carcinoma.,PMID:12543779,fusion_discovery_only,"citation supports fusion/discovery context, not exact expression-surrogate assertion"
NUTM1-BRD4,MAGEA3,ENSG00000221867,activated_ectopic,NUTM,MAGE-A panel is broadly derepressed in NUT carcinoma.,PMID:12543779,fusion_discovery_only,"citation supports fusion/discovery context, not exact expression-surrogate assertion"
NUTM1-BRD4,CTAG1B,ENSG00000184033,activated_ectopic,NUTM,NY-ESO-1 co-expresses with PRAME in a subset of NUT carcinoma.,PMID:12543779,fusion_discovery_only,"citation supports fusion/discovery context, not exact expression-surrogate assertion"
CIC-DUX4,ETV1,ENSG00000006468,activated,SARC_CIC,CIC-DUX4 directly activates the ETV1/4/5 paralog panel. ETV1 elevated in CIC-rearranged sarcoma.,PMID:16717057,expression_surrogate,
CIC-DUX4,ETV4,ENSG00000175832,activated,SARC_CIC,CIC-DUX4 target.,PMID:16717057,expression_surrogate,
CIC-DUX4,ETV5,ENSG00000244405,activated,SARC_CIC,CIC-DUX4 target.,PMID:16717057,expression_surrogate,
CIC-DUX4,DUX4,ENSG00000260596,activated_ectopic,SARC_CIC,DUX4 is normally silenced in somatic tissue; CIC-DUX4 fusion expresses the DUX4 portion.,PMID:16717057,expression_surrogate,
BCOR-CCNB3,CCNB3,ENSG00000147082,activated_ectopic,SARC_BCOR,CCNB3 is normally testis-restricted; expression in a small-blue-round-cell sarcoma is near-pathognomonic.,PMID:22387997,expression_surrogate,
MN1-BEND2,BEND2,ENSG00000177324,activated_ectopic,ASTB,BEND2 is normally silent in the CNS; its expression signals MN1-BEND2 fusion astroblastoma.,PMID:36604386,expression_surrogate,
ZFTA-RELA,L1CAM,ENSG00000198910,activated,EPN,ZFTA-RELA drives L1CAM expression via NFκB activation; L1CAM is a pathognomonic IHC + expression marker for RELA-fusion ependymoma.,PMID:24553141,expression_surrogate,
ZFTA-RELA,CCND1,ENSG00000110092,activated,EPN,NFκB target activated by ZFTA-RELA.,PMID:24553141,expression_surrogate,
ALK_rearrangement,ALK,ENSG00000171094,activated_ectopic,LUAD;SARC_IMT;ALCL,ALK is normally silent post-development; expression >1 TPM plus an epithelial/mesenchymal context signals ALK rearrangement.,PMID:17625570,expression_surrogate,
NTRK_fusion,NTRK1,ENSG00000198400,activated_ectopic,pan_cancer,NTRK1 is normally restricted to neural tissue; ectopic expression in other lineages signals NTRK1 fusion. TRK-inhibitor eligible (larotrectinib / entrectinib).,PMID:29466156,expression_surrogate,
NTRK_fusion,NTRK2,ENSG00000148053,activated_ectopic,pan_cancer,Same — ectopic NTRK2 signals NTRK2 fusion.,PMID:29466156,expression_surrogate,
NTRK_fusion,NTRK3,ENSG00000140538,activated_ectopic,pan_cancer,Same — ectopic NTRK3 signals NTRK3 (most common TRK fusion partner).,PMID:29466156,expression_surrogate,
ROS1_rearrangement,ROS1,ENSG00000047936,activated_ectopic,LUAD,ROS1 is normally silent post-development; expression signals rearrangement.,PMID:22215748,expression_surrogate,
RET_fusion,RET,ENSG00000165731,activated,LUAD;THCA;MTC,RET expression is normally low outside neural crest derivatives; elevated RET signals fusion or (in MTC) germline/somatic point mutation.,PMID:22327624,expression_surrogate,
BCR-ABL1,ABL1,ENSG00000097007,not_reliable_total_gene_surrogate,CML;B_ALL,Total ABL1 mRNA is not a reliable surrogate for BCR-ABL1; fusion-specific transcript testing is required.,PMID:2989692,fusion_transcript_not_total_expression,"PMID supports fused transcript detection, not total ABL1 expression as a surrogate"
PML-RARA,RARA,ENSG00000131759,activated,LAML_APL,RARA hyperexpression is part of APL's gene-expression signature; pathognomonic with MPO + CD33 panel.,PMID:8415704,expression_surrogate,
TFE3_fusion,TFE3,ENSG00000068323,activated,KIRC;SARC_ASPS,Promoter swap drives TFE3 hyperexpression in Xp11 translocation RCC and alveolar soft-part sarcoma.,PMID:12766578,expression_surrogate,
YAP1-TFE3,CTGF,ENSG00000118523,activated,SARC_EHE,YAP1 fusion activates YAP/TEAD targets including CTGF (CCN2).,PMID:23737213,expression_surrogate,
YAP1-TFE3,CYR61,ENSG00000142871,activated,SARC_EHE,YAP/TEAD target activated by YAP1 fusion.,PMID:23737213,expression_surrogate,
YAP1-TFE3,AXL,ENSG00000167601,activated,SARC_EHE,YAP/TEAD target.,PMID:23737213,expression_surrogate,
SHH_pathway,GLI1,ENSG00000111087,activated,MBL_SHH,SHH-driven medulloblastoma expresses the SHH-pathway panel.,PMID:22134537,expression_surrogate,
SHH_pathway,GLI2,ENSG00000074047,activated,MBL_SHH,Same.,PMID:22134537,expression_surrogate,
SHH_pathway,PTCH1,ENSG00000185920,activated,MBL_SHH,Same.,PMID:22134537,expression_surrogate,
SHH_pathway,HHIP,ENSG00000164161,activated,MBL_SHH,Same.,PMID:22134537,expression_surrogate,
WNT_pathway,DKK1,ENSG00000107984,activated,MBL_WNT,WNT-driven medulloblastoma expresses the WNT-target panel.,PMID:22134537,expression_surrogate,
WNT_pathway,AXIN2,ENSG00000168646,activated,MBL_WNT,Same.,PMID:22134537,expression_surrogate,
WNT_pathway,WIF1,ENSG00000156076,activated,MBL_WNT,Same.,PMID:22134537,expression_surrogate,
