cancer_code,apd1_orr_pct,drug,trial,setting,pmid_doi,confidence,notes,drug_target,evidence_type,therapy_regimen_class,histology_match,is_direct_cancer_code_evidence,endpoint_population,response_numerator,response_denominator,source_anchor
SKCM,42.0,nivolumab,CheckMate-067,first-line advanced; nivo monotherapy arm,PMID:28889792,high,Nivo mono ~42-45% (CheckMate-067); pembro KEYNOTE-006 primary 33-37% / longer-FU ~42% (PMID:25891173); aPD1 monotherapy ~40-45% in melanoma,PD-1,direct_trial,single_agent_pd1,direct,true,first-line advanced; nivo monotherapy arm,,,
LUAD,19.0,nivolumab,CheckMate-057,pretreated non-squamous; PD-L1 unselected (all-comer),PMID:26412456,high,All-comer mono ORR 19.2% (Borghaei 2015); PD-L1>=1% ~31% / >=50% ~36%; KEYNOTE-024 PD-L1 TPS>=50% 1L was 45% (PMID:27718847) — population-matched to all-comer TMB/expression per audit,PD-1,direct_trial,single_agent_pd1,direct,true,pretreated non-squamous; PD-L1 unselected (all-comer),,,
LUSC,20.0,nivolumab,CheckMate-017,pretreated squamous; PD-L1 unselected (all-comer),PMID:26028407,high,All-comer mono ORR 20% (Brahmer 2015); PD-L1-independent in squamous; KEYNOTE-024 PD-L1>=50% 1L was 45% (PMID:27718847),PD-1,direct_trial,single_agent_pd1,direct,true,pretreated squamous; PD-L1 unselected (all-comer),,,
LUAD_STK11,10.0,pembrolizumab,KEYNOTE-042 subgroup,STK11/KEAP1-mutant immune-cold subset,PMID:30955977,low,Approximate; STK11/KEAP1-mutant LUAD is immune-cold with markedly lower aPD1 benefit (reported mainly as PFS/OS HRs),PD-1,direct_trial,single_agent_pd1,direct,true,STK11/KEAP1-mutant immune-cold subset,,,
HNSC,19.0,pembrolizumab,KEYNOTE-048,first-line R/M; CPS>=1; monotherapy arm,PMID:31679945,high,CPS>=20 ~23%; total population ~17%; HPV+/HPV- differential not cleanly established in KN-048,PD-1,direct_trial,single_agent_pd1,direct,true,first-line R/M; CPS>=1; monotherapy arm,,,
KIRC,25.0,nivolumab,CheckMate-025,pretreated (post-VEGF TKI); all-comers,PMID:26406148,high,vs everolimus 5%,PD-1,direct_trial,single_agent_pd1,direct,true,pretreated (post-VEGF TKI); all-comers,,,
BLCA,28.6,pembrolizumab,KEYNOTE-052,first-line cisplatin-ineligible; all-comers,PMID:32552471,high,Mature KEYNOTE-052 final ORR 28.6% (Vuky 2020); CPS>=10 ~47%; 2017 interim was 24%; CheckMate-275 pretreated ~20%,PD-1,direct_trial,single_agent_pd1,direct,true,first-line cisplatin-ineligible; all-comers,,,
COAD,5.0,pembrolizumab,KEYNOTE-177/-164,all-comers (response is MSI-dependent),PMID:33264544,medium,All-comer ~5%; only the ~13% MSI-H/dMMR respond (MSI-H ~45%; MSS ~0%),PD-1,direct_trial,single_agent_pd1,direct,true,all-comers (response is MSI-dependent),,,
READ,5.0,pembrolizumab,KEYNOTE-177/-164,all-comers (response is MSI-dependent),PMID:33264544,medium,All-comer ~5%; MSI-H ~45% and MSS ~0%,PD-1,direct_trial,single_agent_pd1,direct,true,all-comers (response is MSI-dependent),,,
STAD,12.0,pembrolizumab,KEYNOTE-059,third-line; all-comers,PMID:30911859,medium,CPS>=1 ~16%; monotherapy indication later withdrawn,PD-1,direct_trial,single_agent_pd1,direct,true,third-line; all-comers,,,
LIHC,17.0,nivolumab,CheckMate-040,sorafenib-naive & -experienced,PMID:28434648,medium,Reported 15-20% across dose-escalation/expansion,PD-1,direct_trial,single_agent_pd1,direct,true,sorafenib-naive & -experienced,,,
ESCA,18.0,nivolumab,ATTRACTION-3,pretreated; esophageal SCC,PMID:31582355,medium,nivo ~19%; KEYNOTE-181 ESCC subgroup ~17%,PD-1,direct_trial,single_agent_pd1,direct,true,pretreated; esophageal SCC,,,
CESC,15.0,pembrolizumab,KEYNOTE-158,pretreated; PD-L1+ (CPS>=1) selected,PMID:30943124,high,All responders were PD-L1+; all-comer ~12%,PD-1,direct_trial,single_agent_pd1,direct,true,pretreated; PD-L1+ (CPS>=1) selected,,,
HL,71.0,nivolumab,CheckMate-205,relapsed/refractory post-ASCT,PMID:29584546,high,Very high responder; KEYNOTE-087 pembro ~69%,PD-1,direct_trial,single_agent_pd1,direct,true,relapsed/refractory post-ASCT,,,
NEC_MERKEL,56.0,pembrolizumab,KEYNOTE-017,first-line advanced; all-comers,PMID:30726175,high,Very high responder; CR ~24%,PD-1,direct_trial,single_agent_pd1,direct,true,first-line advanced; all-comers,,,
BRCA_Basal,5.0,pembrolizumab,KEYNOTE-086,pretreated metastatic TNBC; all-comers,PMID:30475950,medium,Cohort A (pretreated) ~5%; PD-L1+ untreated cohort B ~21%,PD-1,direct_trial,single_agent_pd1,direct,true,pretreated metastatic TNBC; all-comers,,,
SCLC,13.0,nivolumab,CheckMate-032,pretreated; all-comers,PMID:27269741,medium,~10-19%; nivo mono ~10%; KEYNOTE-028 PD-L1-selected was higher (~33%) but not representative,PD-1,direct_trial,single_agent_pd1,direct,true,pretreated; all-comers,,,
MESO,10.0,pembrolizumab,KEYNOTE-158,pretreated; all-comers,PMID:33836153,low,Reported ~8-20% across studies,PD-1,direct_trial,single_agent_pd1,direct,true,pretreated; all-comers,,,
NPC,25.0,pembrolizumab,KEYNOTE-028,pretreated; PD-L1+ selected,PMID:28837405,medium,KN-028 NPC cohort ~26%,PD-1,direct_trial,single_agent_pd1,direct,true,pretreated; PD-L1+ selected,,,
PRAD,4.0,pembrolizumab,KEYNOTE-199,pretreated mCRPC,PMID:31774688,high,Near-zero anchor; ~5% PD-L1+ / ~3% PD-L1-,PD-1,direct_trial,single_agent_pd1,direct,true,pretreated mCRPC,,,
PAAD,1.0,pembrolizumab,pooled/basket,pretreated; MSS,PMID:26028255,low,Near-zero anchor (~0-3%); no single clean monotherapy trial; rare dMMR/MSI-H PDAC responds (~37%) but is a tiny subset,PD-1,near_zero_anchor_proxy,single_agent_pd1,pan_mss_solid_proxy,false,MSS/non-dMMR pancreatic cancer proxy; direct monotherapy dataset not curated,,,KEYNOTE-016 dMMR/MSS mismatch repair checkpoint sensitivity anchor; PAAD-specific monotherapy value remains proxy
GBM,8.0,nivolumab,CheckMate-143,recurrent; all-comers,PMID:32437507,high,Near-zero anchor; vs bevacizumab 23%,PD-1,direct_trial,single_agent_pd1,direct,true,recurrent; all-comers,,,
COAD_MSI,45.0,pembrolizumab,KEYNOTE-177,first-line; MSI-H/dMMR,PMID:33264544,high,MSI-H/dMMR colon; immune-hot; the canonical aPD1-responsive subtype,PD-1,direct_trial,single_agent_pd1,direct,true,first-line; MSI-H/dMMR,,,
COAD_MSS,0.0,pembrolizumab,KEYNOTE-016/-028,MSS,PMID:26028255,high,Microsatellite-stable colon; immune-cold; ~0% response,PD-1,direct_trial,single_agent_pd1,direct,true,MSS,,,
READ_MSI,45.0,pembrolizumab,KEYNOTE-177,first-line; MSI-H/dMMR,PMID:33264544,medium,MSI-H/dMMR rectal; small subset; same biology as COAD_MSI,PD-1,direct_trial,single_agent_pd1,direct,true,first-line; MSI-H/dMMR,,,
READ_MSS,0.0,pembrolizumab,KEYNOTE-016,MSS,PMID:26028255,high,Microsatellite-stable rectal; immune-cold,PD-1,direct_trial,single_agent_pd1,direct,true,MSS,,,
UCEC_MSI,50.0,pembrolizumab,KEYNOTE-158,dMMR/MSI-H advanced EC,PMID:34990208,high,ORR 50% (95% CI 40-61); MSI-H/dMMR cohort n=94,PD-1,direct_trial,single_agent_pd1,direct,true,dMMR/MSI-H advanced EC,,,
UCEC_CNL,6.0,pembrolizumab,KEYNOTE-158,pMMR/MSS NSMP,PMID:34990208,medium,non-MSI-H ORR ~7% (3-14); MSS NSMP arm,PD-1,direct_trial,single_agent_pd1,direct,true,pMMR/MSS NSMP,,,
UCEC_CNH,6.0,pembrolizumab,KEYNOTE-158,pMMR/MSS p53-abnormal,PMID:34990208,medium,non-MSI-H ORR ~7%; p53-abnormal most immune-cold,PD-1,direct_trial,single_agent_pd1,direct,true,pMMR/MSS p53-abnormal,,,
OV,8.0,pembrolizumab,KEYNOTE-100,recurrent ovarian (all-comers),PMID:31046082,medium,pembro monotherapy ORR 8.0%,PD-1,direct_trial,single_agent_pd1,direct,true,recurrent ovarian (all-comers),,,
HNSC_HPVpos,24.0,pembrolizumab,KEYNOTE-012,R/M HNSCC HPV+,PMID:27646946,medium,HPV+ subgroup; pooled monotherapy HPV+ > HPV- (overall KN-012 ORR 18%),PD-1,direct_trial,single_agent_pd1,direct,true,R/M HNSCC HPV+,,,
HNSC_HPVneg,16.0,pembrolizumab,KEYNOTE-012,R/M HNSCC HPV-,PMID:27646946,medium,HPV- subgroup,PD-1,direct_trial,single_agent_pd1,direct,true,R/M HNSCC HPV-,,,
KIRP,25.0,pembrolizumab,KEYNOTE-427 cohort B,papillary RCC 1L,PMID:33529058,medium,papillary nccRCC ORR 25.4%,PD-1,direct_trial,single_agent_pd1,direct,true,papillary RCC 1L,,,
KICH,10.0,pembrolizumab,KEYNOTE-427 cohort B,chromophobe RCC 1L,PMID:33529058,low,chromophobe ORR 9.5% (small n),PD-1,direct_trial,single_agent_pd1,direct,true,chromophobe RCC 1L,,,
CHOL,6.0,pembrolizumab,KEYNOTE-158,advanced biliary,PMID:32359091,medium,biliary ORR 5.8% (6/104),PD-1,direct_trial,single_agent_pd1,direct,true,advanced biliary,,,
UVM,4.0,nivolumab,pooled uveal series,metastatic uveal melanoma,PMID:27533448,low,uveal anti-PD-1 monotherapy ORR ~3-6% (checkpoint-refractory),PD-1,direct_trial,single_agent_pd1,direct,true,metastatic uveal melanoma,,,
SARC_UPS,40.0,pembrolizumab,SARC028,advanced/metastatic 2L+,PMID:28988646,medium,undifferentiated pleomorphic sarcoma; SARC028 abstract 4/10 responses (40%),PD-1,direct_subtype_abstract,single_agent_pd1,direct,true,advanced/metastatic 2L+,4,10,SARC028 abstract Findings response numerator/denominator
SARC_DDLPS,20.0,pembrolizumab,SARC028,advanced/metastatic 2L+,PMID:28988646,low,liposarcoma SARC028 abstract 2/10 responses (20%); DDLPS-specific value not separated in abstract,PD-1,liposarcoma_proxy_for_DDLPS,single_agent_pd1,liposarcoma_proxy,false,advanced/metastatic 2L+,2,10,SARC028 abstract Findings response numerator/denominator
SARC_SYN,10.0,pembrolizumab,SARC028,advanced/metastatic 2L+,PMID:28988646,low,synovial sarcoma 1/10; translocation sarcoma; immune-cold,PD-1,direct_subtype_abstract,single_agent_pd1,direct,true,advanced/metastatic 2L+,1,10,SARC028 abstract Findings response numerator/denominator
SARC_LMS,0.0,pembrolizumab,SARC028,advanced/metastatic 2L+,PMID:28988646,low,leiomyosarcoma 0/10; immune-cold,PD-1,direct_subtype_abstract,single_agent_pd1,direct,true,advanced/metastatic 2L+,0,10,SARC028 abstract Findings response numerator/denominator
SARC_OS,5.0,pembrolizumab,SARC028,advanced/metastatic bone cohort,PMID:28988646,low,osteosarcoma 1/22 in the bone cohort,PD-1,direct_subtype_abstract,single_agent_pd1,direct,true,advanced/metastatic bone cohort,1,22,SARC028 abstract Findings response numerator/denominator
SARC_EWS,0.0,pembrolizumab,SARC028,advanced/metastatic bone cohort,PMID:28988646,low,Ewing sarcoma 0/13; immune-cold,PD-1,direct_subtype_abstract,single_agent_pd1,direct,true,advanced/metastatic bone cohort,0,13,SARC028 abstract Findings response numerator/denominator
SARC_CHON,20.0,pembrolizumab,SARC028,advanced/metastatic bone cohort,PMID:28988646,low,chondrosarcoma SARC028 abstract 1/5 responses (20%),PD-1,direct_subtype_abstract,single_agent_pd1,direct,true,advanced/metastatic bone cohort,1,5,SARC028 abstract Findings response numerator/denominator
